epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78809,5.15467,18.5124,3.15698,9e-05,0.01786,1e-05,0,5.49176,13.7085,3.62837,0.0015,0.0015,0.0865
2,11.3818,4.97081,7.6517,2.75838,0,0,0,0,4.94608,4.61144,2.65789,0.00309924,0.00309924,0.0720992
3,15.1195,4.08721,4.26995,1.87567,0.50845,0.06349,0.00392,0.0007,4.21522,3.3536,1.93546,0.00469541,0.00469541,0.0576954
4,20.4469,3.52636,4.19613,1.59431,0.53387,0.07937,0.036,0.00836,3.32717,8.09755,1.49548,0.00628616,0.00628616,0.0432862
5,23.828,2.84789,3.90005,1.27696,0.04619,0.13889,0.02572,0.00664,3.08374,3.26673,1.29418,0.00786916,0.00786916,0.0288692
6,27.2538,2.97886,3.30254,1.30539,0.05614,0.07937,0.06288,0.01682,2.82023,2.83365,1.28868,0.0094421,0.0094421,0.0144421
7,31.0606,2.66725,3.57959,1.23389,0.22112,0.1231,0.11163,0.02405,2.66081,3.00307,1.21424,0.00991232,0.00991232,0.00991232
8,35.966,2.73654,3.07266,1.21411,0.68731,0.10714,0.27648,0.08141,2.54571,2.39967,1.21681,0.00988079,0.00988079,0.00988079
9,39.3865,2.54398,2.46345,1.22775,0.28978,0.33532,0.1933,0.05159,2.65671,2.20181,1.31312,0.00984449,0.00984449,0.00984449
10,42.5993,2.65645,2.48603,1.24275,0.6884,0.19841,0.19931,0.06393,2.55308,6.20993,1.23198,0.00980345,0.00980345,0.00980345
11,46.2612,2.66719,2.56506,1.25181,0.60687,0.2004,0.25631,0.07424,2.56528,2.90169,1.19891,0.00975773,0.00975773,0.00975773
12,51.2895,2.64272,2.88442,1.22607,0.18379,0.17063,0.11654,0.03716,2.70167,2.76384,1.30848,0.00970736,0.00970736,0.00970736
13,54.7758,2.68233,2.25897,1.24167,0.27646,0.51984,0.26673,0.07143,2.56828,2.44579,1.19445,0.00965239,0.00965239,0.00965239
14,57.9731,2.65985,2.31354,1.33179,0.48188,0.25198,0.34367,0.10169,2.51902,2.41148,1.2136,0.00959289,0.00959289,0.00959289
15,61.6903,2.50414,2.31638,1.19068,0.70513,0.31746,0.31618,0.09572,2.36687,4.15264,1.18083,0.00952889,0.00952889,0.00952889
16,66.7456,2.56394,2.30803,1.18155,0.52971,0.46079,0.43943,0.13643,2.43887,2.04218,1.18254,0.00946048,0.00946048,0.00946048
17,70.0985,2.60935,1.7576,1.19288,0.47882,0.47319,0.51691,0.16142,2.46901,1.86679,1.19517,0.00938772,0.00938772,0.00938772
18,73.4745,2.54738,1.87012,1.20476,0.61907,0.52459,0.46951,0.14271,2.44502,2.1971,1.16383,0.00931067,0.00931067,0.00931067
19,76.7793,2.4171,2.01368,1.13238,0.61684,0.43849,0.49417,0.14105,2.47261,3.62598,1.1369,0.00922942,0.00922942,0.00922942
20,82.5634,2.36883,1.91767,1.15896,0.54865,0.5119,0.53619,0.16746,2.35843,2.08236,1.12265,0.00914405,0.00914405,0.00914405
21,86.4402,2.31739,1.76541,1.11921,0.51598,0.61111,0.57517,0.18374,2.33507,2.2995,1.13823,0.00905463,0.00905463,0.00905463
22,90.208,2.25369,1.72971,1.13477,0.5074,0.6369,0.55826,0.16153,2.43785,1.87262,1.15622,0.00896127,0.00896127,0.00896127
23,94.5188,2.44287,1.77497,1.12139,0.47407,0.67819,0.53811,0.16933,2.38793,1.48774,1.15842,0.00886404,0.00886404,0.00886404
24,100.305,2.3933,1.6288,1.11403,0.49668,0.40873,0.39409,0.11818,2.47191,2.01809,1.17032,0.00876305,0.00876305,0.00876305
25,103.531,2.36802,1.47115,1.11749,0.34999,0.64881,0.45436,0.13244,2.46305,1.64766,1.16868,0.00865839,0.00865839,0.00865839
26,106.84,2.31879,1.3132,1.12404,0.64371,0.6746,0.60166,0.1888,2.30828,1.38331,1.15638,0.00855018,0.00855018,0.00855018
27,111.991,2.30832,1.436,1.16287,0.62229,0.7381,0.6621,0.1779,2.35118,1.43684,1.16587,0.00843851,0.00843851,0.00843851
28,115.08,2.1286,1.48646,1.07287,0.64665,0.75595,0.7118,0.22492,2.27222,1.36752,1.14655,0.00832349,0.00832349,0.00832349
29,119.832,2.36802,1.3589,1.12432,0.54625,0.62119,0.59076,0.19064,2.31853,1.56919,1.14514,0.00820525,0.00820525,0.00820525
30,123.547,2.21079,1.41317,1.08617,0.65915,0.74565,0.7262,0.22701,2.28317,1.53672,1.13296,0.00808389,0.00808389,0.00808389
